Brand Name,Reasons
Mario Badescu,Infringement type: Counterfeit
Mario cosmetics,
Marrakesh,
"Mars, Inc.",
MarsHydro,
Martex ,
Martrix Biolage,
Marubhumi,
Marula,Trademark Infringement
Marvel,
Marvis,
Mary Capan,
Mary Kay,
Mary's Gone Crackers,
Master Appliance,
Master of Illusions Entertainment,
Masterlock,
MasterVision,
MatchaDNA,
Matrix Biolage, Cease and Desist letter
Matt Groening,
Mattel,
Mattress Helper Home and Garden,
MaxiClimber,
Maximum Fitness Gear ,
MaxxDry,
MaxyLife,
Maybelline,
Mayka,
Maytronics Dolphin,
McCain Photography,
MDSolarSciences,
Meal Prep Haven,
Meaningful Beauty,
MECO,
"Medcosouth Healthcare, LLC",
Medela,
Mederma,
Medieval Moccasins,
Medline,
MEE TONG SHOP,
Megagrass,
Melissa & Doug,
"Melissa & DougKenu, Inc.",
Mellanni,
Mellotron Archives,
Menaji Cosmetics,
Mendini by Cecilio,
Merax,
Mercers Furniture (UK),
"Merle Norman Cosmetics, Inc.",
Merrell,
Merz,
Metal Ware,
